"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage"

"Year","Type of settlement region","Place of residence of groom","Months total","January","February","March","April","May","June","July","August","September","October","November","December"
"2021","Total","Lääne-Viru county",201,7,9,16,11,9,17,46,26,12,19,17,12
"2021","Total","Põlva county",74,1,3,6,1,3,12,18,12,4,5,5,4
"2021","Total","Pärnu county",286,8,12,8,12,28,26,61,49,18,18,15,31
"2021","Total","Rapla county",131,2,6,7,8,15,13,27,27,9,5,7,5
"2021","Total","Saare county",129,3,5,7,7,10,11,32,22,7,11,4,10
"2021","Total","Tartu county",693,25,33,34,34,52,89,152,103,48,50,34,39
"2021","Total","Valga county",110,2,3,8,3,4,10,23,10,10,17,13,7
"2021","Total","Viljandi county",157,10,10,5,7,11,14,25,22,10,16,13,14
"2021","Total","Võru county",107,1,8,8,6,10,7,17,23,6,5,9,7
"2021","Total","Place of residence in Estonia unknown",196,9,10,14,21,7,19,25,28,17,21,14,11
"2021","City and town settlement region","Total",4428,228,205,240,242,299,448,800,663,417,324,279,283
"2021","City and town settlement region","Place of residence unknown",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","City and town settlement region","Place of residence outside of Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","City and town settlement region","Place of residence in Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","City and town settlement region","Harju county",2856,158,132,158,154,194,282,499,443,284,201,173,178
"2021","City and town settlement region","..Tallinn",2366,133,109,138,132,156,233,396,369,240,163,147,150
"2021","City and town settlement region","Hiiu county",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","City and town settlement region","Ida-Viru county",543,28,28,37,43,30,55,76,61,60,48,41,36
"2021","City and town settlement region","Jõgeva county",0,0,2,0,0,2,4,4,5,2,0,2,2
"2021","City and town settlement region","Järva county",0,3,0,2,3,4,9,9,8,1,4,3,2
"2021","City and town settlement region","Lääne county",0,1,1,0,1,1,2,5,3,5,2,4,3
"2021","City and town settlement region","Lääne-Viru county",63,1,3,6,5,1,7,12,8,4,7,5,4
"2021","City and town settlement region","Põlva county",0,1,0,0,0,0,4,3,2,2,1,1,2
"2021","City and town settlement region","Pärnu county",158,6,7,3,6,20,11,34,28,9,12,9,13
"2021","City and town settlement region","Rapla county",0,1,0,1,0,1,3,6,3,1,1,1,1
"2021","City and town settlement region","Saare county",0,2,2,0,2,3,6,17,10,4,5,3,6
"2021","City and town settlement region","Tartu county",475,20,24,22,20,35,56,111,71,34,29,26,27
"2021","City and town settlement region","Valga county",0,0,1,6,1,0,2,10,6,6,6,4,3
"2021","City and town settlement region","Viljandi county",59,6,4,3,4,3,4,10,7,3,7,5,3
