Aasta,Asustuspiirkonna liik,Mehe elukoht,Kokku,0 last,1 laps,2 last,3 last,4 last,5 või enam last,Ühiste laste arv teadmata
2020,Linnaline ja väikelinnaline asustuspiirkond,Ida-Viru maakond,272,88,112,57,13,0,1,1
2020,Linnaline ja väikelinnaline asustuspiirkond,Jõgeva maakond,10,5,1,3,0,0,1,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Järva maakond,22,7,5,5,4,1,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Lääne maakond,13,1,3,6,3,0,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Lääne-Viru maakond,33,7,5,18,2,0,1,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Põlva maakond,12,3,5,3,1,0,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Pärnu maakond,75,23,23,21,6,1,1,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Rapla maakond,6,0,2,2,1,1,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Saare maakond,17,1,4,9,2,1,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Tartu maakond,137,39,34,44,19,0,0,1
2020,Linnaline ja väikelinnaline asustuspiirkond,Valga maakond,26,10,4,8,3,1,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Viljandi maakond,22,3,7,10,1,0,1,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Võru maakond,10,2,3,4,1,0,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis teadmata,.,.,.,.,.,.,.,.
2020,Maaline asustuspiirkond,Kokku,753,166,202,236,112,22,14,1
2020,Maaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,.
2020,Maaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,.
2020,Maaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,.
2020,Maaline asustuspiirkond,Harju maakond,165,40,43,57,19,4,1,1
2020,Maaline asustuspiirkond,Tallinn,.,.,.,.,.,.,.,.
2020,Maaline asustuspiirkond,Hiiu maakond,17,4,5,3,4,1,0,0
2020,Maaline asustuspiirkond,Ida-Viru maakond,73,24,21,22,4,1,1,0
2020,Maaline asustuspiirkond,Jõgeva maakond,40,8,11,12,5,3,1,0
2020,Maaline asustuspiirkond,Järva maakond,23,1,8,9,3,1,1,0
2020,Maaline asustuspiirkond,Lääne maakond,25,2,6,9,7,0,1,0
2020,Maaline asustuspiirkond,Lääne-Viru maakond,57,18,12,14,12,1,0,0
2020,Maaline asustuspiirkond,Põlva maakond,27,4,11,11,1,0,0,0
2020,Maaline asustuspiirkond,Pärnu maakond,50,13,9,14,11,0,3,0
2020,Maaline asustuspiirkond,Rapla maakond,57,6,18,20,11,1,1,0
2020,Maaline asustuspiirkond,Saare maakond,39,9,10,14,5,0,1,0
2020,Maaline asustuspiirkond,Tartu maakond,80,16,22,23,13,5,1,0
2020,Maaline asustuspiirkond,Valga maakond,20,2,10,3,3,0,2,0
2020,Maaline asustuspiirkond,Viljandi maakond,46,10,9,15,9,3,0,0
2020,Maaline asustuspiirkond,Võru maakond,34,9,7,10,5,2,1,0
2020,Maaline asustuspiirkond,Elukoht Eestis teadmata,.,.,.,.,.,.,.,.
2021,Kokku,Kokku,2554,999,776,549,129,23,4,74
2021,Kokku,Elukoht teadmata,0,0,0,0,0,0,0,0
2021,Kokku,Elukoht väljaspool Eestit,90,40,20,17,5,0,0,8
2021,Kokku,Elukoht Eestis,2464,959,756,532,124,23,4,66
2021,Kokku,Harju maakond,1255,486,408,270,39,5,2,45
2021,Kokku,Tallinn,924,373,310,177,22,2,1,39
2021,Kokku,Hiiu maakond,11,5,2,3,0,0,0,1
2021,Kokku,Ida-Viru maakond,307,130,116,41,11,1,0,8
2021,Kokku,Jõgeva maakond,46,21,10,9,5,0,0,1
2021,Kokku,Järva maakond,55,19,19,13,4,0,0,0
2021,Kokku,Lääne maakond,40,22,9,5,2,2,0,0
2021,Kokku,Lääne-Viru maakond,98,35,30,20,9,4,0,0
2021,Kokku,Põlva maakond,36,13,8,9,3,3,0,0
2021,Kokku,Pärnu maakond,146,57,35,39,10,1,0,4
2021,Kokku,Rapla maakond,54,18,14,13,7,1,0,1
2021,Kokku,Saare maakond,52,26,10,11,3,1,0,1
2021,Kokku,Tartu maakond,243,84,62,74,19,1,1,2
2021,Kokku,Valga maakond,41,17,13,5,2,3,0,1
2021,Kokku,Viljandi maakond,71,27,20,15,7,0,1,1
2021,Kokku,Võru maakond,52,18,9,15,7,1,0,2
2021,Kokku,Elukoht Eestis teadmata,0,0,0,0,0,0,0,0
2021,Linnaline ja väikelinnaline asustuspiirkond,Kokku,1779,693,592,370,60,7,3,54
2021,Linnaline ja väikelinnaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,.
2021,Linnaline ja väikelinnaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,.
2021,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,.
