"Aasta","Asustuspiirkonna liik","Mehe elukoht","Kuud kokku","Jaanuar","Veebruar","Märts","Aprill","Mai","Juuni","Juuli","August","September","Oktoober","November","Detsember"
"2019","Maaline asustuspiirkond","Põlva maakond",38,2,1,7,4,4,4,3,2,1,2,3,5
"2019","Maaline asustuspiirkond","Pärnu maakond",60,3,3,5,11,5,9,3,3,4,3,6,5
"2019","Maaline asustuspiirkond","Rapla maakond",53,4,3,4,3,3,1,7,6,5,6,4,7
"2019","Maaline asustuspiirkond","Saare maakond",35,5,1,3,2,5,5,0,4,2,4,1,3
"2019","Maaline asustuspiirkond","Tartu maakond",83,5,6,8,6,7,8,10,4,7,12,3,7
"2019","Maaline asustuspiirkond","Valga maakond",17,2,1,3,2,0,0,1,1,1,1,3,2
"2019","Maaline asustuspiirkond","Viljandi maakond",51,4,6,9,3,4,1,5,7,2,2,4,4
"2019","Maaline asustuspiirkond","Võru maakond",35,4,3,6,3,0,2,5,2,2,4,2,2
"2020","Kokku","Kokku",2555,204,199,195,104,119,203,280,248,280,241,244,238
"2020","Kokku","Elukoht väljaspool Eestit",77,5,9,7,3,5,2,5,9,12,9,7,4
"2020","Kokku","Elukoht Eestis",2478,199,190,188,101,114,201,275,239,268,232,237,234
"2020","Kokku","Harju maakond",1234,112,83,97,30,52,101,143,115,133,122,116,130
"2020","Kokku","..Tallinn",868,79,58,67,19,39,72,106,89,94,82,74,89
"2020","Kokku","Hiiu maakond",17,1,3,1,0,0,3,1,4,2,2,0,0
"2020","Kokku","Ida-Viru maakond",345,23,26,24,15,15,19,41,35,47,35,36,29
"2020","Kokku","Jõgeva maakond",50,3,5,3,4,3,6,5,4,2,7,2,6
"2020","Kokku","Järva maakond",45,2,4,4,3,1,4,1,5,5,1,11,4
"2020","Kokku","Lääne maakond",38,2,1,6,4,1,3,4,3,3,5,4,2
"2020","Kokku","Lääne-Viru maakond",90,9,4,6,9,6,6,9,14,12,5,4,6
"2020","Kokku","Põlva maakond",39,2,5,4,0,1,1,5,6,7,2,2,4
"2020","Kokku","Pärnu maakond",125,8,10,11,9,7,19,13,3,13,14,8,10
"2020","Kokku","Rapla maakond",63,6,6,3,3,4,7,5,10,4,4,9,2
"2020","Kokku","Saare maakond",56,5,2,3,4,3,2,7,8,6,4,9,3
"2020","Kokku","Tartu maakond",217,16,22,20,9,14,15,23,19,20,15,22,22
"2020","Kokku","Valga maakond",46,5,6,2,5,1,6,4,2,4,6,3,2
"2020","Kokku","Viljandi maakond",68,4,7,1,5,2,5,9,6,9,6,8,6
"2020","Kokku","Võru maakond",44,1,6,3,1,4,4,5,5,1,4,2,8
"2020","Kokku","Elukoht Eestis teadmata",1,0,0,0,0,0,0,0,0,0,0,1,0
"2020","Linnaline ja väikelinnaline asustuspiirkond","Kokku",1724,146,135,127,69,81,135,194,163,184,159,167,164
"2020","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",1069,100,75,79,28,45,88,130,100,115,99,100,110
"2020","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",868,79,58,67,19,39,72,106,89,94,82,74,89
